epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,199.899,2.26096,2.6803,1.11507,0.02118,0.39464,0.02117,0.00946,2.19924,3.19503,1.17668,0.000648148,0.000648148,0.000648148
2,591.39,2.08266,1.74301,1.05091,0.36439,0.24117,0.20817,0.07878,2.22171,2.42847,1.17615,0.00128878,0.00128878,0.00128878
3,778.464,2.03723,1.6914,1.0306,0.32369,0.39951,0.28715,0.11835,2.13928,1.9515,1.10956,0.00190301,0.00190301,0.00190301
4,960.829,2.01914,1.59658,1.01676,0.2878,0.45184,0.2748,0.11339,2.13399,1.87256,1.11568,0.0018812,0.0018812,0.0018812
5,1141,1.96596,1.55074,1.03218,0.33766,0.36054,0.27377,0.12237,2.09597,1.85966,1.08486,0.0018416,0.0018416,0.0018416
6,1321.21,1.96048,1.50161,1.02606,0.33299,0.49574,0.28903,0.12134,2.05644,1.8063,1.0849,0.001802,0.001802,0.001802
7,1503.35,1.96181,1.49785,0.99436,0.32577,0.4458,0.29845,0.12709,2.05442,1.91034,1.08094,0.0017624,0.0017624,0.0017624
8,1679.68,1.91354,1.42235,0.99692,0.32883,0.49452,0.31723,0.13439,2.05801,1.82595,1.07286,0.0017228,0.0017228,0.0017228
9,1855.45,1.87134,1.36618,0.98814,0.27185,0.51035,0.2979,0.12747,2.08272,1.73692,1.09164,0.0016832,0.0016832,0.0016832
10,2030.68,1.87745,1.42694,1.02049,0.30781,0.47625,0.28172,0.11285,2.18077,1.82673,1.11228,0.0016436,0.0016436,0.0016436
11,2206.7,1.82326,1.36129,0.98279,0.31991,0.50426,0.32242,0.14119,2.06234,1.65075,1.09694,0.001604,0.001604,0.001604
12,2387.47,1.91042,1.38148,0.98227,0.33468,0.47625,0.3175,0.14237,2.09694,1.72733,1.11871,0.0015644,0.0015644,0.0015644
13,2564.28,1.82209,1.32907,0.98063,0.32349,0.43849,0.2862,0.12872,2.11512,1.71485,1.11179,0.0015248,0.0015248,0.0015248
14,2743.6,1.81692,1.29586,0.98223,0.34207,0.53593,0.32578,0.13547,2.05133,1.6763,1.08119,0.0014852,0.0014852,0.0014852
15,2921.47,1.81171,1.28693,0.971,0.35607,0.47752,0.32192,0.1339,2.1221,1.69323,1.11544,0.0014456,0.0014456,0.0014456
16,3099.7,1.81146,1.28276,0.97141,0.37458,0.42875,0.3386,0.15094,2.01333,1.69255,1.08863,0.001406,0.001406,0.001406
17,3281.22,1.7858,1.23803,0.95891,0.3431,0.49817,0.32894,0.14435,2.04908,1.87089,1.08369,0.0013664,0.0013664,0.0013664
18,3472.96,1.77325,1.23131,0.97634,0.32597,0.5542,0.32116,0.13891,2.0351,1.97026,1.11668,0.0013268,0.0013268,0.0013268
19,3650.81,1.77551,1.22857,0.9588,0.33742,0.48965,0.32173,0.14279,2.05533,1.86851,1.11586,0.0012872,0.0012872,0.0012872
20,3830.2,1.7273,1.22146,0.96006,0.33389,0.46407,0.31413,0.14206,2.1261,1.68175,1.13271,0.0012476,0.0012476,0.0012476
21,4008.63,1.74302,1.22639,0.96343,0.32306,0.53106,0.33172,0.14201,2.04239,1.76319,1.09849,0.001208,0.001208,0.001208
22,4187.76,1.73421,1.22663,0.94907,0.31482,0.55664,0.32809,0.14646,2.04666,1.80144,1.10686,0.0011684,0.0011684,0.0011684
23,4366.27,1.75797,1.19928,0.96233,0.37271,0.4458,0.33323,0.1434,2.11139,1.87453,1.09971,0.0011288,0.0011288,0.0011288
24,4544.1,1.71834,1.15856,0.95762,0.35022,0.46285,0.32613,0.14479,2.10018,1.68254,1.10858,0.0010892,0.0010892,0.0010892
25,4726.09,1.70626,1.13381,0.93471,0.35555,0.4458,0.32833,0.14387,2.07417,1.75671,1.13265,0.0010496,0.0010496,0.0010496
26,4904.28,1.70595,1.12992,0.94641,0.34265,0.50183,0.32992,0.14649,2.06047,1.84808,1.11346,0.00101,0.00101,0.00101
27,5083.12,1.70756,1.13789,0.95453,0.32509,0.50305,0.33032,0.15239,2.01154,1.61631,1.09056,0.0009704,0.0009704,0.0009704
28,5261.36,1.66913,1.08443,0.94254,0.34357,0.48258,0.32528,0.14477,2.06609,1.64711,1.12859,0.0009308,0.0009308,0.0009308
29,5438.47,1.615,1.07934,0.9323,0.33227,0.48356,0.31547,0.14273,2.04394,1.70832,1.11084,0.0008912,0.0008912,0.0008912
30,5615.94,1.63788,1.0577,0.9392,0.33404,0.48599,0.32474,0.15017,2.05074,1.63656,1.12893,0.0008516,0.0008516,0.0008516
31,5802.19,1.66306,1.08723,0.9305,0.34405,0.41206,0.28942,0.13303,2.07192,1.69764,1.14201,0.000812,0.000812,0.000812
32,5984.29,1.6431,1.0461,0.93687,0.3561,0.46894,0.34297,0.15263,2.07267,1.62308,1.10875,0.0007724,0.0007724,0.0007724
33,6161.66,1.60092,1.02298,0.92475,0.33265,0.48935,0.30412,0.13148,2.11112,1.68528,1.12346,0.0007328,0.0007328,0.0007328
34,6340.19,1.65685,1.03265,0.92453,0.34785,0.48792,0.32075,0.14335,2.04426,1.66451,1.11392,0.0006932,0.0006932,0.0006932
